Date,Close,High,Low,Open,Volume
2020-01-01,1732.311279296875,1735.3079488104775,1715.7176163363363,1726.4520331225906,543035
2020-01-02,1733.65283203125,1746.6682449948014,1726.451784794463,1735.3971308296675,663275
2020-01-03,1724.1707763671875,1735.3972299611075,1716.388368550451,1733.5187290256324,1598825
2020-01-06,1713.436279296875,1725.915102655005,1709.6792776040022,1724.0812630215078,683129
2020-01-07,1718.132568359375,1727.3463184490213,1715.7173686096442,1716.8355368634304,808935
2020-01-08,1725.8704833984375,1731.8639313428869,1705.3856171453197,1708.56125897527,1889685
2020-01-09,1730.9693603515625,1741.9274100811538,1727.346451252308,1736.7838357182843,1544334
2020-01-10,1747.9210205078125,1751.051892345979,1727.9281893233208,1736.2026363241894,1003336
2020-01-13,1784.4625244140625,1787.1461285139997,1750.6044078590799,1754.1825466589962,2040089
2020-01-14,1796.9412841796875,1802.4425850292193,1773.3255471128473,1785.0439294206583,1610737
2020-01-15,1808.4359130859375,1813.2216514021163,1786.6986784212681,1799.0432996968293,1559491
2020-01-16,1833.125244140625,1838.0004146042081,1803.4713968319531,1808.7491734304472,2468958
2020-01-17,1843.009765625,1846.229959299164,1824.8954391339948,1838.2686883464357,994719
2020-01-20,1845.291015625,1856.964518887726,1833.7961572337272,1843.1887716976073,829399
2020-01-21,1838.62646484375,1856.1594316514306,1835.7192271797176,1842.517777997125,750000
2020-01-22,1835.316650390625,1845.872202666829,1813.4005520308783,1845.4249353533648,983169
2020-01-23,1839.96826171875,1843.5018483528436,1820.3780399479554,1835.3614955593205,708017
2020-01-24,1854.996337890625,1859.7374149019147,1833.8406821679466,1840.0576538976616,914993
2020-01-27,1843.94921875,1850.5686882719888,1839.8342717116195,1848.1087178102373,429312
2020-01-28,1843.2783203125,1847.2141856999426,1827.2660178853598,1844.5305815560687,777052
2020-01-29,1855.4434814453125,1865.8201693669653,1844.5749742451403,1844.5749742451403,873433
2020-01-30,1841.0418701171875,1858.8430224847564,1833.3040142769798,1856.0698776833408,952768
2020-01-31,1819.7073974609375,1850.1215803360374,1807.0050471150878,1846.3198074766499,1930834
2020-02-03,1949.146484375,1963.9958488450557,1856.0700983096326,1856.0700983096326,4012542
2020-02-04,1928.2593994140625,1971.7336618496336,1914.3045684738765,1947.4023577418827,1932121
2020-02-05,1932.463623046875,1953.6640546871372,1926.7384691406223,1938.814689258881,1514368
2020-02-06,1928.974365234375,1964.6216571617417,1908.9816475332075,1937.5619849344714,1302116
2020-02-07,1932.150146484375,1942.9293331019971,1915.7355660729418,1936.6675903157568,908152
2020-02-10,1931.56884765625,1958.62852269924,1924.7702964868909,1932.2845191044348,1389847
2020-02-11,1925.61962890625,1949.7720607177866,1921.1917267525778,1940.2453555267887,777506
2020-02-12,2021.96142578125,2032.382666799447,1927.7221157362712,1929.6007258045586,4753325
2020-02-13,2042.5804443359375,2047.5451555938303,1997.5407532767265,2018.0702809402867,2950407
2020-02-14,2017.2205810546875,2055.283077390669,2009.348631773737,2033.2774357358728,1728651
